브랜드,모델명,이름,연식,주행거리(km),가격(만원),URL
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브,2017,"147,900","1,780",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37974419&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p1261_g11&tempht_arg=uh1dEHB3c729_10
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"176,100","1,440",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38369413&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p141_g19&tempht_arg=bavA13xL79M2_18
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브,2017,"234,000","1,300",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38349565&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1371_g12&tempht_arg=WY13z6ms7FF7_11
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2018,"15,300","2,299",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38309182&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p991_g12&tempht_arg=1r3eY8WD4Pv8_11
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브 스페셜,2018,"27,600","2,450",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37955536&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1171_g1&tempht_arg=Ie13A67hhVB7_0
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2018,"65,100","1,880",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37899306&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p981_g10&tempht_arg=D13n7z5VTkW2_9
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2018,"71,700","1,999",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38386560&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p501_g11&tempht_arg=1to3gF8tUD37_10
현대,그랜저,현대 그랜저 IG  2.4 프리미엄 스페셜,2018,"98,900","1,640",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37419032&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p571_g12&tempht_arg=13L8Sd6VckW9_11
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2018,"100,600","2,190",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38388625&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p661_g20&tempht_arg=K13qOYVM75u2_19
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브 스페셜,2018,"133,100","1,980",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38379966&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p21_g4&tempht_arg=o1ez3Gmg83d7_3
현대,그랜저,현대 그랜저 IG  2.4 모던,2018,"141,300","1,350",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38178527&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p31_g16&tempht_arg=KAu1Ti3xC848_15
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2019,"39,100","2,299",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=36093463&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p871_g13&tempht_arg=1C37QgioQK92_12
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2019,"68,800","1,850",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37986820&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p241_g8&tempht_arg=VHS1372mSaz9_7
현대,그랜저,현대 더 뉴 그랜저 IG  3.0 LPi 익스클루시브,2019,"70,800","2,750",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38199506&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p421_g21&tempht_arg=1x3XWlJRJ677_20
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2019,"87,300","1,930",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38416985&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p461_g19&tempht_arg=qc13b7KdQg52_18
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2019,"88,400","2,250",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38065518&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p691_g4&tempht_arg=JJD1M3h86SS4_3
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브 스페셜,2019,"90,900","2,200",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38089820&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p521_g19&tempht_arg=n1J3o8Owfe24_18
현대,그랜저,현대 그랜저 IG  2.4 익스클루시브 스페셜,2019,"92,500","2,099",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37923090&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p941_g2&tempht_arg=hlqbeZ138N57_1
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브,2019,"101,400","2,090",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38373188&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p501_g2&tempht_arg=1to3gF8tUD37_1
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 캘리그래피,2019,"103,800","2,490",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38352079&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1311_g21&tempht_arg=1dLpumZ3g584_20
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2019,"125,000","1,550",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38302658&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1361_g7&tempht_arg=1ldo3u7V9vB2_6
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2019,"125,300","1,790",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38291704&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p211_g3&tempht_arg=e1l36O7TqaK7_2
현대,그랜저,현대 그랜저 IG 하이브리드  프리미엄,2019,"132,500","1,879",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38343755&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p261_g4&tempht_arg=NG1Acx36cX17_3
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 캘리그래피,2019,"142,000","2,260",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38065518&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p691_g13&tempht_arg=JJD1M3h86SS4_12
현대,그랜저,현대 그랜저 IG 하이브리드  프리미엄,2019,"153,800","1,649",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38324244&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1471_g16&tempht_arg=1Ymd3YMR8q09_15
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 익스클루시브,2020,"10,300","3,160",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38064859&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p781_g20&tempht_arg=13eo80Dcagz9_19
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 익스클루시브,2020,"27,700","2,690",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38417195&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p781_g21&tempht_arg=13eo80Dcagz9_20
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 프리미엄 초이스,2020,"32,500","2,880",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37225516&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p261_g16&tempht_arg=NG1Acx36cX17_15
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 캘리그래피,2020,"35,100","3,190",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38391505&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p971_g14&tempht_arg=K1w3O7OuNw73_13
현대,그랜저,현대 더 뉴 그랜저 IG  3.3 캘리그래피,2020,"41,400","3,190",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37618112&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1081_g11&tempht_arg=fNlKI138J5E7_10
현대,그랜저,현대 더 뉴 그랜저 IG  3.3 캘리그래피,2020,"45,200","3,190",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37758760&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1171_g16&tempht_arg=Ie13A67hhVB7_15
현대,그랜저,현대 더 뉴 그랜저 IG  3.3 익스클루시브,2020,"45,400","2,680",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38375771&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1011_g4&tempht_arg=gqkU13c80RQ9_3
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 익스클루시브,2020,"45,600","2,650",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38206473&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p601_g13&tempht_arg=y138LytJ3HF7_12
현대,그랜저,현대 더 뉴 그랜저 IG 하이브리드  익스클루시브,2020,"49,900","2,999",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38327388&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p1141_g7&tempht_arg=1tW3ciSqb752_6
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 익스클루시브,2020,"50,800","2,790",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38175592&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p51_g8&tempht_arg=13ptOT7PY7A3_7
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 프리미엄 초이스,2020,"52,500","2,469",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38053626&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p11_g7&tempht_arg=1Td35E1PsnG2_6
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 익스클루시브,2020,"52,900","2,090",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38360427&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1491_g1&tempht_arg=1vSY375xWJq2_0
현대,그랜저,현대 더 뉴 그랜저 IG  2.5 캘리그래피,2020,"53,100","3,290",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38222051&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p1451_g14&tempht_arg=r13jLF6vZH48_13
현대,그랜저,현대 더 뉴 그랜저 IG  3.0 LPi 프리미엄 초이스,2020,"53,500","2,799",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38122282&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p171_g17&tempht_arg=1kBvTh382ub4_16
